iter	Passed	Remaining
292	6744	16274
293	6767	16250
294	6795	16239
295	6818	16216
296	6844	16200
297	6867	16177
298	6887	16147
299	6913	16132
300	6939	16115
301	6965	16098
302	6989	16077
303	7015	16061
304	7038	16037
305	7060	16013
306	7083	15989
307	7109	15972
308	7135	15956
309	7157	15931
310	7180	15907
311	7206	15890
312	7229	15867
313	7256	15854
314	7279	15829
315	7305	15813
316	7328	15789
317	7351	15766
318	7375	15745
319	7401	15729
320	7428	15713
321	7454	15696
322	7477	15672
323	7504	15658
324	7527	15634
325	7554	15617
326	7580	15601
327	7605	15582
328	7631	15564
329	7657	15547
330	7680	15522
331	7706	15505
332	7732	15488
333	7753	15459
334	7776	15436
335	7802	15418
336	7829	15402
337	7856	15387
338	7882	15369
339	7908	15352
340	7935	15335
341	7961	15316
342	7987	15298
343	8012	15279
344	8039	15263
345	8062	15239
346	8085	15215
347	8111	15198
348	8136	15176
349	8162	15158
350	8188	15140
351	8211	15116
352	8237	15098
353	8263	15080
354	8290	15063
355	8316	15045
356	8339	15019
357	8367	15005
358	8390	14981
359	8418	14966
360	8443	14946
361	8466	14921
362	8492	14903
363	8518	14884
364	8546	14867
365	8571	14848
366	8599	14832
367	8626	14814
368	8652	14795
369	8678	14776
370	8705	14759
371	8727	14734
372	8750	14708
373	8776	14690
374	8798	14664
375	8824	14644
376	8850	14625
377	8872	14600
378	8898	14580
379	8921	14556
380	8944	14532
381	8971	14513
382	8993	14488
383	9020	14470
384	9047	14452
385	9074	14434
386	9100	14415
387	9122	14389
388	9151	14373
389	9177	14354
390	9203	14335
391	9229	14315
392	9252	14290
393	9274	14265
394	9300	14245
395	9326	14225
396	9348	14200
397	9376	14182
398	9402	14163
399	9424	14136
400	9450	14116
401	9477	14098
402	9502	14077
403	9524	14050
